房源名称,房源id,经度,纬度,所在省份,所在城市,主城市,下辖区,楼盘id,成交日期,成交价格（万）,成交均价（元/平）,挂牌价格（万）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）
高兴花园,107101754775,121.409033,31.117302,上海,上海,闵行区,春申,5011000014981,2019.09.18,258,69542,265,1室1厅1厨1卫,高楼层(共6层),37.1㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,70年,无,107101754775,商品房,2019/9/15,普通住宅,暂无数据,非共有,4,0,3,0,1
虹桥花苑,107101543813,121.39481,31.194851,上海,上海,闵行区,金虹桥,5011000017042,2019.09.18,1190,70787,1230,3室2厅1厨2卫,中楼层(共16层),168.11㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,两梯两户,70年,有,107101543813,商品房,2019/7/16,普通住宅,暂无数据,共有,64,1,7,14,1405
紫堤坊,107000756189,121.302818,31.213254,上海,上海,闵行区,华漕,5011000000744,2019.09.18,215,36646,215,1室1厅1厨1卫,中楼层(共6层),58.67㎡,平层,暂无数据,板楼,西南,1905年,毛坯,钢混结构,,一梯三户,70年,无,107000756189,商品房,2017/12/20,普通住宅,暂无数据,非共有,637,1,3,12,1620
金铭福邸,107101242260,121.4176737,31.01631551,上海,上海,闵行区,老闵行,5011000014650,2019.09.18,498,34765,528,3室2厅1厨2卫,高楼层(共6层),143.25㎡,复式,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101242260,商品房,2019/4/20,普通住宅,暂无数据,共有,152,0,32,49,3323
红旗小区,107101390044,121.4021477,31.01544771,上海,上海,闵行区,老闵行,5011000009405,2019.09.18,104,31392,107,1室1厅1厨1卫,高楼层(共4层),33.13㎡,暂无数据,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,未知,无,107101390044,商品房,2019/6/3,普通住宅,暂无数据,非共有,108,1,11,12,1292
汇秀景苑二街坊,107101702585,121.549408,31.047094,上海,上海,闵行区,浦江,5020026764190620,2019.09.18,217,30551,228,2室1厅1厨1卫,中楼层(共6层),71.03㎡,平层,暂无数据,板楼,南,1905年,精装,钢混结构,,一梯两户,未知,无,107101702585,商品房,2019/8/31,普通住宅,暂无数据,非共有,19,0,10,8,326
龙柏二村,107101739280,121.3687945,31.18806912,上海,上海,闵行区,龙柏,5011000016308,2019.09.18,330,52249,345,2室1厅1厨1卫,中楼层(共6层),63.16㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯两户,未知,无,107101739280,商品房,2019/9/10,普通住宅,暂无数据,共有,9,0,3,3,285
万顺水原墅(公寓),107101591522,121.424834,31.049115,上海,上海,闵行区,颛桥,5011000004651,2019.09.18,171,36399,176.5,1室1厅1厨1卫,中楼层(共12层),46.98㎡,平层,暂无数据,塔楼,南 北,1905年,精装,钢混结构,,两梯十五户,70年,有,107101591522,商品房,2019/7/31,普通住宅,暂无数据,共有,50,1,4,8,998
银桥花园,107101713116,121.4163,31.061615,上海,上海,闵行区,颛桥,5011000013096,2019.09.18,280,34047,285,2室1厅1厨1卫,低楼层(共6层),82.24㎡,平层,暂无数据,板楼,南,1905年,精装,砖混结构,,一梯四户,未知,无,107101713116,商品房,2019/9/3,普通住宅,暂无数据,共有,16,0,5,2,311
合生城邦四街坊,107101738437,121.412023,31.026317,上海,上海,闵行区,老闵行,5017589463167880,2019.09.18,363,39934,368,2室2厅1厨1卫,高楼层(共18层),90.9㎡,平层,暂无数据,板楼,南,1905年,其他,钢混结构,,两梯四户,70年,有,107101738437,商品房,2019/9/10,普通住宅,暂无数据,暂无数据,9,0,4,15,254
高兴花园,107101675658,121.409033,31.117302,上海,上海,闵行区,春申,5011000014981,2019.09.17,321,45845,328,2室1厅1厨1卫,高楼层(共6层),70.02㎡,平层,暂无数据,板楼,南 北,1905年,毛坯,砖混结构,,一梯三户,70年,无,107101675658,商品房,2019/8/23,普通住宅,暂无数据,共有,26,0,36,12,864
紫竹半岛花园,107101434132,121.4749122,31.03420168,上海,上海,闵行区,吴泾,5011000000233,2019.09.17,647,62212,650,2室2厅1厨1卫,高楼层(共15层),104㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,,两梯四户,70年,有,107101434132,商品房,2019/6/16,普通住宅,暂无数据,非共有,94,0,62,22,2213
马桥景城馨苑,107101616719,121.377237,31.02283,上海,上海,闵行区,老闵行,5011102206797,2019.09.17,151,26962,165,1室1厅1厨1卫,低楼层(共18层),55.82㎡,暂无数据,暂无数据,塔楼,南,1905年,其他,钢混结构,,二十梯六户,未知,有,107101616719,动迁安置房,2019/8/7,普通住宅,暂无数据,非共有,42,1,3,17,630
万源新城南区,107101305405,121.393218,31.176859,上海,上海,闵行区,金虹桥,5011000004714,2019.09.17,505,59623,520,2室2厅1厨1卫,低楼层(共6层),84.7㎡,平层,暂无数据,板楼,南,1905年,精装,混合结构,,一梯两户,未知,无,107101305405,商品房,2019/5/10,普通住宅,暂无数据,非共有,131,1,33,86,3564
君莲小区,107101635638,121.4157983,31.08982628,上海,上海,闵行区,颛桥,5011000004001,2019.09.17,339,39956,350,2室1厅1厨1卫,中楼层(共11层),84.72㎡,平层,暂无数据,板楼,南,1905年,精装,框架结构,,一梯三户,未知,有,107101635638,商品房,2019/8/12,普通住宅,暂无数据,共有,36,0,6,14,822
